antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'children_(-0.003, 1.0]'})",frozenset({'current_act_YES'}),0.6633333333333333,0.7583333333333333,0.5,0.7537688442211056,0.993980893478381,-0.0030277777777777404,0.981462585034014
"frozenset({'save_act_YES', 'children_(-0.003, 1.0]'})",frozenset({'current_act_YES'}),0.4483333333333333,0.7583333333333333,0.3433333333333333,0.7657992565055762,1.0098451734139466,0.0033472222222222237,1.031878306878307
frozenset({'mortgage_NO'}),frozenset({'current_act_YES'}),0.6516666666666666,0.7583333333333333,0.5016666666666667,0.7698209718670078,1.0151485343301203,0.007486111111111193,1.0499074074074082
"frozenset({'mortgage_NO', 'children_(-0.003, 1.0]'})",frozenset({'current_act_YES'}),0.41333333333333333,0.7583333333333333,0.32166666666666666,0.7782258064516129,1.0262318326834456,0.008222222222222242,1.0896969696969696
"frozenset({'mortgage_NO', 'children_(-0.003, 1.0]', 'married_YES'})",frozenset({'current_act_YES'}),0.2866666666666667,0.7583333333333333,0.22166666666666668,0.7732558139534884,1.0196779964221825,0.004277777777777797,1.0658119658119662
"frozenset({'save_act_YES', 'mortgage_NO', 'children_(-0.003, 1.0]'})",frozenset({'current_act_YES'}),0.2783333333333333,0.7583333333333333,0.22333333333333333,0.8023952095808383,1.058103573073633,0.012263888888888907,1.222979797979798
"frozenset({'save_act_YES', 'mortgage_NO'})",frozenset({'current_act_YES'}),0.45,0.7583333333333333,0.35333333333333333,0.7851851851851852,1.0354090354090355,0.012083333333333335,1.1250000000000002
"frozenset({'current_act_YES', 'mortgage_NO'})",frozenset({'save_act_YES'}),0.5016666666666667,0.69,0.35333333333333333,0.7043189368770764,1.0207520824305456,0.007183333333333319,1.0484269662921348
"frozenset({'mortgage_NO', 'married_YES'})",frozenset({'current_act_YES'}),0.435,0.7583333333333333,0.33166666666666667,0.7624521072796935,1.0054313502589365,0.0017916666666666914,1.0173387096774194
"frozenset({'mortgage_NO', 'married_YES'})",frozenset({'save_act_YES'}),0.435,0.69,0.30666666666666664,0.7049808429118773,1.0217113665389528,0.006516666666666671,1.0507792207792208
"frozenset({'save_act_YES', 'mortgage_NO', 'married_YES'})",frozenset({'current_act_YES'}),0.30666666666666664,0.7583333333333333,0.23666666666666666,0.7717391304347827,1.0176779741997135,0.004111111111111149,1.0587301587301594
"frozenset({'current_act_YES', 'mortgage_NO', 'married_YES'})",frozenset({'save_act_YES'}),0.33166666666666667,0.69,0.23666666666666666,0.7135678391959799,1.034156288689826,0.007816666666666694,1.082280701754386
frozenset({'car_NO'}),frozenset({'current_act_YES'}),0.5066666666666667,0.7583333333333333,0.39166666666666666,0.7730263157894736,1.0193753614806245,0.00744444444444442,1.0647342995169078
"frozenset({'car_NO', 'children_(-0.003, 1.0]'})",frozenset({'current_act_YES'}),0.345,0.7583333333333333,0.265,0.7681159420289856,1.012900143334926,0.003375000000000017,1.0421875000000005
"frozenset({'car_NO', 'mortgage_NO'})",frozenset({'current_act_YES'}),0.3283333333333333,0.7583333333333333,0.2633333333333333,0.8020304568527918,1.05762258046522,0.014347222222222233,1.2207264957264956
"frozenset({'car_NO', 'married_YES'})",frozenset({'current_act_YES'}),0.33666666666666667,0.7583333333333333,0.25166666666666665,0.7475247524752475,0.9857469263409858,-0.0036388888888889137,0.9571895424836603
"frozenset({'car_NO', 'pep_NO'})",frozenset({'married_YES'}),0.28,0.66,0.21,0.7499999999999999,1.1363636363636362,0.025199999999999972,1.3599999999999992
"frozenset({'car_NO', 'pep_NO'})",frozenset({'current_act_YES'}),0.28,0.7583333333333333,0.20833333333333334,0.744047619047619,0.9811616954474096,-0.0040000000000000036,0.9441860465116277
"frozenset({'car_NO', 'save_act_YES'})",frozenset({'current_act_YES'}),0.3416666666666667,0.7583333333333333,0.265,0.775609756097561,1.0227820959528278,0.005902777777777812,1.0769927536231887
frozenset({'sex_FEMALE'}),frozenset({'current_act_YES'}),0.5,0.7583333333333333,0.38333333333333336,0.7666666666666667,1.0109890109890112,0.004166666666666707,1.035714285714286
"frozenset({'sex_FEMALE', 'mortgage_NO'})",frozenset({'current_act_YES'}),0.3416666666666667,0.7583333333333333,0.265,0.775609756097561,1.0227820959528278,0.005902777777777812,1.0769927536231887
"frozenset({'sex_FEMALE', 'children_(-0.003, 1.0]'})",frozenset({'current_act_YES'}),0.33,0.7583333333333333,0.255,0.7727272727272727,1.018981018981019,0.0047499999999999765,1.0633333333333335
"frozenset({'car_NO', 'sex_FEMALE'})",frozenset({'current_act_YES'}),0.255,0.7583333333333333,0.2,0.7843137254901961,1.0342598577892697,0.00662500000000002,1.1204545454545456
"frozenset({'save_act_YES', 'sex_FEMALE'})",frozenset({'current_act_YES'}),0.3433333333333333,0.7583333333333333,0.26666666666666666,0.7766990291262136,1.0242184999466553,0.006305555555555564,1.0822463768115942
"frozenset({'sex_FEMALE', 'married_YES'})",frozenset({'current_act_YES'}),0.325,0.7583333333333333,0.24333333333333335,0.7487179487179487,0.9873203719357566,-0.003124999999999989,0.9617346938775512
"frozenset({'sex_FEMALE', 'married_YES'})",frozenset({'mortgage_NO'}),0.325,0.6516666666666666,0.23,0.7076923076923077,1.0859728506787332,0.018208333333333354,1.191666666666667
"frozenset({'sex_FEMALE', 'married_YES'})",frozenset({'save_act_YES'}),0.325,0.69,0.22833333333333333,0.7025641025641025,1.0182088442958008,0.0040833333333333555,1.0422413793103449
"frozenset({'sex_FEMALE', 'pep_NO'})",frozenset({'current_act_YES'}),0.2833333333333333,0.7583333333333333,0.21333333333333335,0.7529411764705883,0.9928894634776989,-0.001527777777777739,0.9781746031746037
"frozenset({'sex_FEMALE', 'pep_NO'})",frozenset({'married_YES'}),0.2833333333333333,0.66,0.21166666666666667,0.7470588235294118,1.1319073083778965,0.02466666666666667,1.3441860465116278
"frozenset({'sex_FEMALE', 'pep_NO'})",frozenset({'save_act_YES'}),0.2833333333333333,0.69,0.20333333333333334,0.7176470588235294,1.040068201193521,0.007833333333333359,1.0979166666666669
"frozenset({'income_(4956.094, 24386.173]'})",frozenset({'current_act_YES'}),0.475,0.7583333333333333,0.35833333333333334,0.7543859649122807,0.9947946790052054,-0.00187499999999996,0.9839285714285716
"frozenset({'income_(4956.094, 24386.173]', 'children_(-0.003, 1.0]'})",frozenset({'current_act_YES'}),0.31833333333333336,0.7583333333333333,0.23833333333333334,0.7486910994764397,0.9872849663425579,-0.003069444444444458,0.9616319444444444
"frozenset({'income_(4956.094, 24386.173]', 'mortgage_NO'})",frozenset({'current_act_YES'}),0.31333333333333335,0.7583333333333333,0.23833333333333334,0.7606382978723404,1.0030395136778116,0.0007222222222222352,1.0096296296296297
"frozenset({'income_(4956.094, 24386.173]', 'mortgage_NO'})",frozenset({'married_YES'}),0.31333333333333335,0.66,0.22166666666666668,0.7074468085106383,1.0718891038039975,0.014866666666666667,1.1621818181818182
"frozenset({'income_(4956.094, 24386.173]', 'car_NO'})",frozenset({'current_act_YES'}),0.27,0.7583333333333333,0.20333333333333334,0.7530864197530864,0.9930809930809932,-0.0014166666666666772,0.9787500000000001
"frozenset({'income_(4956.094, 24386.173]', 'married_YES'})",frozenset({'current_act_YES'}),0.325,0.7583333333333333,0.24,0.7384615384615384,0.9737954353338968,-0.006458333333333344,0.9240196078431371
"frozenset({'income_(4956.094, 24386.173]', 'pep_NO'})",frozenset({'current_act_YES'}),0.29333333333333333,0.7583333333333333,0.22,0.75,0.989010989010989,-0.0024444444444444435,0.9666666666666668
"frozenset({'income_(4956.094, 24386.173]', 'pep_NO'})",frozenset({'married_YES'}),0.29333333333333333,0.66,0.21333333333333335,0.7272727272727273,1.1019283746556474,0.019733333333333325,1.2466666666666666
"frozenset({'income_(4956.094, 24386.173]', 'save_act_YES'})",frozenset({'current_act_YES'}),0.285,0.7583333333333333,0.22,0.7719298245614036,1.0179294389820708,0.0038750000000000173,1.059615384615385
frozenset({'pep_YES'}),"frozenset({'children_(-0.003, 1.0]'})",0.45666666666666667,0.6633333333333333,0.3433333333333333,0.7518248175182481,1.133404247514947,0.04041111111111112,1.3565686274509803
frozenset({'pep_YES'}),frozenset({'current_act_YES'}),0.45666666666666667,0.7583333333333333,0.3516666666666667,0.7700729927007299,1.015480869495468,0.00536111111111115,1.0510582010582012
"frozenset({'pep_YES', 'current_act_YES'})","frozenset({'children_(-0.003, 1.0]'})",0.3516666666666667,0.6633333333333333,0.26,0.7393364928909952,1.1145776274738621,0.026727777777777767,1.2915757575757574
"frozenset({'pep_YES', 'children_(-0.003, 1.0]'})",frozenset({'current_act_YES'}),0.3433333333333333,0.7583333333333333,0.26,0.7572815533980582,0.9986130374479889,-0.00036111111111108984,0.9956666666666668
"frozenset({'pep_YES', 'mortgage_NO'})","frozenset({'children_(-0.003, 1.0]'})",0.30333333333333334,0.6633333333333333,0.21333333333333335,0.7032967032967034,1.0602462863769397,0.012122222222222229,1.1346913580246916
"frozenset({'pep_YES', 'mortgage_NO'})",frozenset({'current_act_YES'}),0.30333333333333334,0.7583333333333333,0.23833333333333334,0.7857142857142857,1.0361067503924648,0.008305555555555566,1.1277777777777778
"frozenset({'save_act_YES', 'pep_YES'})",frozenset({'current_act_YES'}),0.29833333333333334,0.7583333333333333,0.23333333333333334,0.7821229050279329,1.0313708637730983,0.007097222222222227,1.109188034188034
"frozenset({'save_act_YES', 'pep_YES'})",frozenset({'mortgage_NO'}),0.29833333333333334,0.6516666666666666,0.21333333333333335,0.7150837988826816,1.097315292403092,0.01891944444444446,1.2225816993464056
"frozenset({'pep_YES', 'mortgage_NO'})",frozenset({'save_act_YES'}),0.30333333333333334,0.69,0.21333333333333335,0.7032967032967034,1.019270584487976,0.004033333333333361,1.044814814814815
frozenset({'region_INNER_CITY'}),frozenset({'current_act_YES'}),0.4483333333333333,0.7583333333333333,0.3416666666666667,0.7620817843866171,1.0049430123779566,0.001680555555555574,1.0157552083333334
"frozenset({'region_INNER_CITY', 'children_(-0.003, 1.0]'})",frozenset({'current_act_YES'}),0.31,0.7583333333333333,0.23166666666666666,0.7473118279569892,0.9854661467564694,-0.003416666666666651,0.9563829787234044
"frozenset({'region_INNER_CITY', 'mortgage_NO'})",frozenset({'current_act_YES'}),0.2916666666666667,0.7583333333333333,0.22666666666666666,0.777142857142857,1.0248037676609103,0.0054861111111110805,1.0844017094017089
"frozenset({'region_INNER_CITY', 'married_YES'})",frozenset({'current_act_YES'}),0.2966666666666667,0.7583333333333333,0.22666666666666666,0.7640449438202246,1.007531794048648,0.0016944444444444151,1.0242063492063487
"frozenset({'region_INNER_CITY', 'married_YES'})","frozenset({'children_(-0.003, 1.0]'})",0.2966666666666667,0.6633333333333333,0.20833333333333334,0.7022471910112359,1.0586641070521143,0.01154444444444444,1.1306918238993708
"frozenset({'save_act_YES', 'region_INNER_CITY'})",frozenset({'current_act_YES'}),0.28833333333333333,0.7583333333333333,0.22666666666666666,0.7861271676300577,1.0366512100616148,0.008013888888888876,1.1299549549549548
"frozenset({'age_(34.333, 50.667]'})","frozenset({'children_(-0.003, 1.0]'})",0.3566666666666667,0.6633333333333333,0.25333333333333335,0.7102803738317757,1.0707744329122246,0.01674444444444445,1.162043010752688
"frozenset({'age_(34.333, 50.667]'})",frozenset({'current_act_YES'}),0.3566666666666667,0.7583333333333333,0.2633333333333333,0.7383177570093457,0.9736058334189174,-0.007138888888888917,0.9235119047619044
frozenset({'married_NO'}),frozenset({'current_act_YES'}),0.34,0.7583333333333333,0.27,0.7941176470588235,1.0471881060116355,0.012166666666666659,1.1738095238095236
frozenset({'save_act_NO'}),frozenset({'current_act_YES'}),0.31,0.7583333333333333,0.22666666666666666,0.7311827956989247,0.9641970932293513,-0.008416666666666656,0.8990000000000001
frozenset({'married_YES'}),frozenset({'current_act_YES'}),0.66,0.7583333333333333,0.48833333333333334,0.7398989898989898,0.9756909756909756,-0.012166666666666714,0.9291262135922329
"frozenset({'save_act_YES', 'married_YES'})",frozenset({'current_act_YES'}),0.46166666666666667,0.7583333333333333,0.3433333333333333,0.7436823104693141,0.980679969849645,-0.006763888888888903,0.9428403755868546
"frozenset({'current_act_YES', 'married_YES'})",frozenset({'save_act_YES'}),0.48833333333333334,0.69,0.3433333333333333,0.7030716723549488,1.0189444526883318,0.006383333333333352,1.0440229885057475
"frozenset({'children_(-0.003, 1.0]', 'married_YES'})",frozenset({'current_act_YES'}),0.4483333333333333,0.7583333333333333,0.33,0.7360594795539034,0.9706278851260265,-0.009986111111111085,0.9156103286384979
"frozenset({'save_act_YES', 'children_(-0.003, 1.0]', 'married_YES'})",frozenset({'current_act_YES'}),0.30666666666666664,0.7583333333333333,0.225,0.7336956521739131,0.9675107501194459,-0.00755555555555551,0.9074829931972792
frozenset({'pep_NO'}),frozenset({'current_act_YES'}),0.5433333333333333,0.7583333333333333,0.4066666666666667,0.7484662576687117,0.9869884716510484,-0.005361111111111094,0.9607723577235774
frozenset({'pep_NO'}),frozenset({'married_YES'}),0.5433333333333333,0.66,0.4033333333333333,0.7423312883435582,1.1247443762781184,0.04473333333333329,1.319523809523809
frozenset({'pep_NO'}),frozenset({'save_act_YES'}),0.5433333333333333,0.69,0.39166666666666666,0.7208588957055214,1.044723037254379,0.016766666666666707,1.1105494505494504
"frozenset({'pep_NO', 'current_act_YES'})",frozenset({'married_YES'}),0.4066666666666667,0.66,0.295,0.7254098360655737,1.0991058122205661,0.026599999999999957,1.2382089552238804
"frozenset({'pep_NO', 'married_YES'})",frozenset({'current_act_YES'}),0.4033333333333333,0.7583333333333333,0.295,0.731404958677686,0.9644900553991463,-0.0108611111111111,0.8997435897435899
"frozenset({'save_act_YES', 'pep_NO'})",frozenset({'current_act_YES'}),0.39166666666666666,0.7583333333333333,0.29833333333333334,0.7617021276595745,1.004442366144494,0.0013194444444444842,1.0141369047619049
"frozenset({'pep_NO', 'current_act_YES'})",frozenset({'save_act_YES'}),0.4066666666666667,0.69,0.29833333333333334,0.7336065573770492,1.0631979092421002,0.01773333333333338,1.1636923076923078
"frozenset({'save_act_YES', 'pep_NO'})",frozenset({'married_YES'}),0.39166666666666666,0.66,0.2916666666666667,0.7446808510638299,1.1283043197936815,0.03316666666666668,1.331666666666667
"frozenset({'pep_NO', 'married_YES'})",frozenset({'save_act_YES'}),0.4033333333333333,0.69,0.2916666666666667,0.7231404958677686,1.0480297041561866,0.013366666666666693,1.1197014925373137
"frozenset({'save_act_YES', 'pep_NO', 'current_act_YES'})",frozenset({'married_YES'}),0.29833333333333334,0.66,0.21666666666666667,0.7262569832402235,1.100389368545793,0.019766666666666655,1.2420408163265306
"frozenset({'save_act_YES', 'pep_NO', 'married_YES'})",frozenset({'current_act_YES'}),0.2916666666666667,0.7583333333333333,0.21666666666666667,0.7428571428571429,0.979591836734694,-0.004513888888888901,0.939814814814815
"frozenset({'pep_NO', 'current_act_YES', 'married_YES'})",frozenset({'save_act_YES'}),0.295,0.69,0.21666666666666667,0.7344632768361583,1.0644395316466064,0.013116666666666693,1.167446808510639
"frozenset({'pep_NO', 'mortgage_NO'})",frozenset({'married_YES'}),0.34833333333333333,0.66,0.285,0.8181818181818181,1.2396694214876032,0.055099999999999955,1.8699999999999992
"frozenset({'pep_NO', 'married_YES'})",frozenset({'mortgage_NO'}),0.4033333333333333,0.6516666666666666,0.285,0.7066115702479339,1.0843144300479803,0.02216111111111113,1.1872769953051645
"frozenset({'pep_NO', 'mortgage_NO'})",frozenset({'current_act_YES'}),0.34833333333333333,0.7583333333333333,0.2633333333333333,0.7559808612440191,0.9968978390031021,-0.0008194444444444282,0.9903594771241829
